Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,diglabform,,text,Record ID,,,,,,,,,,,,,
diglab_label_0,diglabform,General Metadata,descriptive,,,,,,,,,,,,,,
diglab_version,diglabform,,descriptive,DigLab Version 1.0,,,,,,,,,,,,,@HIDDEN
redcap_form_version,diglabform,,descriptive,RedCap Form Version 0.0.1c,,,,,,,,,,,,,@HIDDEN
ethical_protocol_id,diglabform,,text,Ethical Protocol Identifier,,"The official ethical protocol id in '5X-16X-vX' format",,,,,,y,,,,,
user,diglabform,,dropdown,User,,"The name of the experimenter",,,,,,y,,,,,
date,diglabform,,text,Session date,,"The date of the recording",date_dmy,,,,,y,,,,,@TODAY
time,diglabform,,text,Session time,,"The time of the recording",time,,,,,y,,,,,@NOW
diglab_label_1,diglabform,Subject Metadata,descriptive,,,,,,,,,,,,,,
guid,diglabform,,dropdown,Subject GUID,"","The globally unique identifier of the subject",,,,,,y,,,,,
species,diglabform,,dropdown,Species,"species_rat, Rat | species_mouse, Mouse | species_non_human_primate, Non-human Primate","Subject species",autocomplete,,,,,y,,,,,
species_type,diglabform,,dropdown,Species Type,"species_type_wild, Wild Type | species_type_transgenic, Transgenic","Species type",autocomplete,,,,,y,,,,,
species_genotype,diglabform,,dropdown,Species Genotype,"species_genotype_cross_breeding, Cross-breeding | species_genotype_viral, Viral Infection","Species genotype",autocomplete,,,,,y,,,,,
weight,diglabform,,text,Weight,,"in kg; The weight of the subject",number,0,,,,y,,,,,
age,diglabform,,text,Age,,"in days; The age of the subject since birth",number,0,,,,y,,,,,
sex,diglabform,,checkbox,Sex,"sex_m, male | sex_f, female","the sex of the subject",,,,,,y,,,,,
diglab_label_2,diglabform,Preparation and Slicing Metadata,descriptive,,,,,,,,,,,,,,
preparation,diglabform,,dropdown,Experiment Name," prep_snc_organotopic, SNc Organotopic | prep_snc_acute, SNc Acute | prep_hippocampus, Hippocampus","Preparation",autocomplete,,,,,y,,,,,
sample_type,diglabform,,radio,Sample preparation,"sample_type_slice, Slice | sample_type_culture, Culture | sample_type_dissociated, Dissociated | sample_type_whole_mount, Whole-mount | sample_type_in_vivo, In Vivo | sample_type_hemi_section, Hemi-section | sample_type_transverse, Transverse | sample_type_longitudinal, Longitudinal","The type of sample preparation",,,,,,y,,,,,
anatomical_region_general,diglabform,,dropdown,General anatomical region,"lumbar_spinal, lumbar spinal | thoracic_spinal, thoracic spinal | snc, SNc | striatum, striatum | other, other","The specific region recorded from. Terminology according to XXX Ontology",,,,,,y,,,,,
anatomical_region_specific,diglabform,,dropdown,Specific anatomical region,"region_1, region 1 | region_2, region 2","The specific region recorded from. Terminology according to XXX Ontology",,,,,,y,,,,,
slice_id,diglabform,,text,Slice ID,,,integer,0,,,,y,,,,,"@DEFAULT='[slice_id][previous-instance]'"
slicing_speed,diglabform,,text,Slicing speed,,"in ??",integer,0,,,,y,,,,,"@DEFAULT='0'"
slicing_amplitude,diglabform,,text,Slicing amplitude,,"in ??",integer,0,,,,y,,,,,"@DEFAULT='0'"
slice_thickness,diglabform,,text,Slice thickness,,"in ??",integer,0,,,,y,,,,,"@DEFAULT='0'"
slice_quality,diglabform,,radio,Slice quality,"very_good, Very good | good, Good | average, Average | bad, Bad","Observed quality of the slice",,,,y,,,,,,,
diglab_label_3,diglabform,Pipette and Solution Metadata,descriptive,,,,,,,,,,,,,,
extracellular_solution,diglabform,,text,Extracellular solution,,,,,,,,y,,,,,
pipette,diglabform,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 23.4088%; height: 18px;"">Pipette diameters (inner/outer)</td> <td style=""width: 23.4088%; height: 18px;"">{pipette_inner_dia}</td> <td style=""width: 23.4088%; height: 18px;"">{pipette_outer_dia}</td> </tr> </tbody> </table></div>",,"in ??",,,,,,,,,,,
pipette_inner_dia,diglabform,,text,,,"in ??",integer,0,,,,,,,,,"@DEFAULT='0'"
pipette_outer_dia,diglabform,,text,,,"in ??",integer,0,,,,,,,,,"@DEFAULT='0'"
pipette_solution,diglabform,,text,Pipette solution,,,,,,,,y,,,,,
pipette_waxing,diglabform,,radio,Waxing,"yes, yes","Was the pipette waxed",,,,,,,,,,,
diglab_label_4,diglabform,Experiment Metadata,descriptive,,,,,,,,,,,,,,
exp_name,diglabform,,dropdown,Experiment Name,"exp_name_","The name of the experiment",autocomplete,,,,,y,,,,,
ses_number,diglabform,,text,Session Number,,"The consecutive number of this recording session",integer,1,,,,y,,,,,
modality,diglabform,,checkbox,Modality,"modality_ext, Extracellular Neuronal Recording | patch_int, Intracellular neuronal recording | patch_cat, Cell Attached Patch | patch_iop, Inside Out Patch | patch_lp, Loose Patch | patch_oop, Outside Out Patch | patch_pp, Perforated Patch | patch_wcp, Whole Cell Patch | single_electrode, Single Electrode | multi_electrode, Multi Electrode | emg, EMG | int, Optical Imaging (int) | vsdi, Optical Imaging (VSDi) | ecog, ECoG | seeg, SEEG","The modalities recorded [tick all applicable]",,,,,,y,,,,,
comments_exp,diglabform,,notes,Comments on the experiment,,"Comments on the experiment",,,,,,,,,,,
diglab_label_5,diglabform,Cell Metadata,descriptive,,,,,,,,,,,,,,
cell_id,diglabform,,text,Cell ID,,,integer,0,,,,,,,,,"@DEFAULT='[cell_id][previous-instance]'"
cluster_id,diglabform,,text,Cluster ID,,,integer,0,,,,,,,,,"@DEFAULT='[cluster_id][previous-instance]'"
cell_type,diglabform,,checkbox,Cell Type,"interneuron, interneuron | motorneuron, motorneuron | astrocyte, astrocyte | da, DA | cholinergic, cholinergic neuron","The neuron type recorded from. What does `DA` stand for?",,,,,,y,,,,,
localization,diglabform,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 23.4088%; height: 18px;"">Location (x,y,z)</td> <td style=""width: 23.4088%; height: 18px;"">{localization_x}</td> <td style=""width: 23.4088%; height: 18px;"">{localization_y}</td> <td style=""width: 23.4088%; height: 18px;"">{localization_z}</td> </tr> </tbody> </table></div>",,"in ??",,,,,,,,,,,
localization_x,diglabform,,text,,,,integer,0,,,,,,,,,
localization_y,diglabform,,text,,,,integer,0,,,,,,,,,
localization_z,diglabform,,text,,,,integer,0,,,,,,,,,
localization_custom,diglabform,,text,Location (custom),,,,,,,,,,,,,
immuno_custom,diglabform,,text,,,,,,,,[immuno]=="yes",,,,,,
immuno,diglabform,,radio,Immuno?,"yes, yes {immono_custom}",,,,,,,,,,,,
mrna_custom,diglabform,,text,,,,,,,,[mrna]=="yes",,,,,,
mrna,diglabform,,radio,mRNA?,"yes, yes {mrna_custom}","Was mRNA harvested? For which purpose?",,,,,,,,,,,
diglab_label_6,diglabform,Electrophysiology Metadata,descriptive,,,,,,,,,,,,,,
resting_potential,diglabform,,text,Resting potential,,"in ??",integer,0,,,,y,,,,,"@DEFAULT='0'"
offset,diglabform,,text,Offset,,"What kind of offset is this??",integer,0,,,,y,,,,,"@DEFAULT='0'"
resistance_seal,diglabform,,text,Seal resistance,,"Gigaseal, What kind of offset is this??",integer,0,,,,,,,,,"@DEFAULT='0'"
resistance_holding,diglabform,,text,Membrane holding resistance,,"RMP, membrane resistance, What kind of offset is this??",integer,0,,,,,,,,,"@DEFAULT='0'"
resistance_special,diglabform,,text,Resistance special,,"Rs/CM, %compensation, What kind of offset is this??",integer,0,,,,,,,,,"@DEFAULT='0'"
resting_start,diglabform,,text,,,"in ??",integer,0,,,,,,,,,"@DEFAULT='0'"
resting_stop,diglabform,,text,,,"in ??",integer,0,,,,,,,,,"@DEFAULT='0'"
